"Kategorie A";11;;;;;;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC";"GPF";"Stonava";"VCL";"M60";"Paskov"
"Alickun";"Eduard";"TJ Kolík Bohumín 1";0;29;24;48;0;"DNF";34;0;0;0;0;32;0;35;0;0
"Balog";"Lukáš";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
"Bastwina";"Michal";"UKS Sokol Kety";0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0
"BRO";"Matìj";"Team Forman Cinelli";0;0;33;0;0;0;0;0;0;0;0;39;0;"DNF";0;0
"Bubeník";"Jiøí";"CykloservisMB-Airoo";0;34;16;35;0;"DNF";0;42;44;0;0;27;48;25;0;0
"BUCHÁÈEK";"Tomáš";"Whirpool Author";0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0
"BUKSA";"Dominik";"Èeská spoøitelna Sp.";0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0
"CIELEPAK";"Marcin";"Gliwice";0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cimbálník";"Pavel";"Cyklo MXM Hulín";20;40;0;0;44;48;0;44;60;0;0;38;56;26;0;31
"Civela";"Petr";"Titan Sport Club";0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0
"Èer";"Tomáš";"Bikestyle.cz";20;0;29;0;50;0;0;0;0;0;0;0;0;46;0;46
"Èernı ";"Josef";"Wibatech";0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;50
"Èernı";"Viktor";"YOGI Racing Ostrava 1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DANÌK";"Tomáš";"Eleven Benefit";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Darboøák";"Antonín";;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0
"Diblík";"Jan";"Racing Olešná";0;26;22;0;38;"DNF";0;35;0;0;0;37;0;0;0;0
"Drozdsz";"Tomasz";"MTB Team UCI";20;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0
"Duík";"Josef";"Cube-Light Bike ";0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0
