"Kategorie A";12;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. ArcelorMittal"
"Alickun";"Eduard";"TJ Kolík Bohumín 1";0;29
"Bubeník";"Jiøí";"CykloservisMB-Airoo";0;34
"Cimbálník";"Pavel";"Cyklo MXM Hulín";20;40
"Èernı";"Viktor";"YOGI Racing Ostrava 1";0;0
"Diblík";"Jan";"Racing Olešná";0;26
"Galatík";"Roman";"CK Continental Frenštát p. R. 1";20;46
"Grepl";"Radim";"CK Hobby Bohumín B";0;0
"Gruchala";"Vojtìch";"Triatlon klub Ostrava";20;28
"Helebrandt";"Pavel";"BSS OPAVA";20;0
"Jablonski";"Marcin";;20;0
"Kalita";"Tomáš";"YOGI Racing Ostrava 3";0;33
"Kubínek";"Aleš";"CK Hobby Bohumín B";0;0
"Kusidlo ";"Mariusz";"CK Hobby Bohumín A ";0;38
"Kvapulínskı";"Martin";"Cube-Light";20;39
"Malošík";"Jan";"CK Orlík Orlová";0;0
"Marek";"Miroslav";"SKOTT-Bicykly";0;0
"Maták";"Andrej";"Cykloklub Kysuce";0;27
"Musiol";"Jakub";"Yogi Racing Ostrava";20;0
"Musiol";"Lukáš";"YOGI Racing Ostrava 2";0;21
"Neulinger";"Ondøej";"SK Jiøí Tream Ostrava";20;0
"Palider";"Jan";"Triatlon klub Ostrava";0;23
"Pastušek ";"Jan";"SK Maxbike Orlová";0;22
"Pavlík ";"Petr";"Racing Olešná";20;31
"Pavlík ";"Jan";"Racing Olešná";0;0
"Prouza";"Martin";"Triatlon klub Ostrava";0;0
"Rut";"Ondøej";"Triatlon klub Ostrava";0;0
"Salomon";"Marek";"SK Maxbike Orlová";0;24
"Satke";"Tomáš";"BSS OPAVA";20;0
"Sobek";"Ondøej";"CK Hobby Bohumín A ";0;0
"Škoda";"Kristián";"CK Continental Frenštát p. R. 1";20;35
"Štainer";"Pavel";"SK Valašského království";0;36
"Šustr";"Vilém";"ACK Stará Ves n. Ondøejnicí";20;37
"Veleckı";"Tomáš";"YOGI Racing Ostrava 1";0;0
"Willmann";"Filip";"Skvelakola.cz";20;30
"Èer";"Tomáš";"Bikestyle.cz";20;0
"Drozdsz";"Tomasz";"MTB Team UCI";20;0
"Fierla";"Ondøej";"TEAM FORMAN CINELLI";0;48
"Hamáèek";"Jaroslav";"ACS DRAK VRBNO";20;0
"Haman";"Martin";"MILKA-Superior";20;0
"Janošek";"Tomáš";"ACK Stará Ves nad Ondøejnicí";0;42
"Klíma";"Jirka";"CK Pøerov";0;44
"Kokošek";"Oldøich";"Novatop-Lapierre";20;0
"Košák";"Lukáš";"Racing Olešná";0;20
"Kvarda";"Roman";"Racing Olešná ";0;25
"Lasák";"Matìj";"MAX CURSOR Ostrava";0;60
"Markos";"Tanas";"CK Frenštát";20;0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";0;50
"Olejník";"Martin";"Bruntál";20;0
"Ondrašík";"Richard";"CK Feso Petøvald";0;32
"Pilèík";"Adam";"Bikestyle.cz";20;0
"Pøichystal";"Lukáš";"PM Bike idlochovice";20;0
"Rohel";"Bøetislav";"Bikestyle.cz";20;0
"Øeháèek";"Vojtìch";"BSS OPAVA";20;0
"Svientı";"Radek";"Bikestyle.cz";20;0
"Svoboda";"Jan";"Yogi Racing Ostrava";20;0
"Štainer";"Pavel";;20;0
"Záruba";"Petr";"ACK Stará Ves nad Ondøejnicí";0;55
;;;;
"Kategorie B";12;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. ArcelorMittal"
"Bában";"Marcel";"CykloservisMB-Airoo";0;50
"Balica";"Lukáš";"Racing Olešná";0;29
"Beníèek";"Tomáš";"CK Continental Frenštát p. R. 2";20;15
"Bollo";"Roman";"YOGI Racing Ostrava 1";0;0
"Celta";"Tomáš";"CK Continental Frenštát p. R. 1";20;60
"Dulava";"David";"Skvelakola.cz";20;0
"Foltın";"Jiøí";"CK Hobby Bohumín A ";20;38
"Gierc";"David";;0;18
"Harabiš";"Radim";"SK Valašského království";0;0
"Hlawiczka";"Martin";"Skvelakola.cz";20;35
"Chamrád";"Jiøí";"CK Continental Frenštát p. R. 1";0;44
"Javorek";"Petr";"ACK Stará Ves n. Ondøejnicí";0;0
"Jeek";"Petr";"CykloservisMB-Airoo";0;0
"Jirásek";"Josef";"YOGI Racing Ostrava 2";20;25
"Jureèka";"Roman";"CK Continental Frenštát p. R.";20;28
"Klášterka ";"Tomáš";"ACK Stará Ves n. Ondøejnicí";0;48
"Kokeš";"Pavel";"SK Valašského království";0;39
"Koláèek";"Petr";"CK Feso Petøvald";0;37
"Kolesár";"Radek";"TJ Kolík Bohumín 1";0;0
"Kotas";"Wieslaw";"TJ T Tøinec";0;0
"Kotásek";"Robert";"Cube-Light Bike";0;0
"Kovaøík";"Roman";"TJ Kolík Bohumín 2";0;0
"Kozák";"Pavel";"Cyklokramo Suchdol n. O. 2";0;0
"Král";"Martin";"YOGI Racing Ostrava 2";0;40
"Kroll";"Andrzej";"Skvelakola.cz";20;14
"Kubala";"Janusz";"CykloservisMB-Airoo";0;0
"Machotka";"Karel";"YOGI Racing Ostrava 1";0;55
"Malík";"Roman";"Racing Olešná";0;27
"Martinák";"Tomáš";"SK Valašského království";0;34
"Novotnı ";"Jiøí";"Team Forman Cinelli";0;17
"Plucnar";"Pavel";"TJ T Tøinec";0;16
"Podhornı";"Jarmil";"YOGI Racing Ostrava 1";0;30
"Povala";"Roman";"CK Continental Frenštát p. R. 1";0;42
"Schnerch";"Martin";"Skvelakola.cz";20;0
"Sikora";"Tomáš";"ACK Stará Ves n. Ondøejnicí";0;0
"Stanìk ";"Pavel";"Cyklosport Pøikryl Stará Ves n. O.";20;32
"Stocker";"Richard";"Cube-Light Bike";0;0
"Štec";"Josef";"Cyklokramo Suchdol n. O. 1";0;22
"Toman";"Petr";"Team Forman Cinelli";20;31
"Uvíra ";"Václav";"CK Orlík Orlová";0;46
"Vrábel";"David";"SK Valašského království";0;26
"Bak";;;0;33
"Beneš";"Daniel";"SK VEHA TEAM";0;24
"Èervenı";"Lukáš";"Baník Karviná";0;20
"Domanskı";"Libor";;20;0
"Hajzler";"Marian";"SK ORBEA";20;0
"Heinrich";"Lukáš";"Bikestyle.cz";20;0
"Kainar";"Tomáš";"Nutrend Specialized";20;0
"Karmelita";"Tomáš";"LOKO Krnov";20;0
"Kula";"Tomáš Pavel";"Rybnik";20;0
"Macczak";"Laszek";;20;23
"Najser";"Tomáš";"BIKEONE";20;0
"Pietrosz";"Tomáš";;0;19
"Pietrzyk";"Vratislav";"KaSK";0;36
;;;;
"Kategorie C";12;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. ArcelorMittal"
"Beneš";"Petr";"YOGI Racing Ostrava 1";0;0
"Blachowski";"Riszard";"CK Orlík Orlová";0;0
"Buchal";"Ivo";"Racing Olešná";0;36
"Dohnal";"Blahoslav";"Cyklistika pro všechny Krnov";20;0
"Fajkus";"Petr";"KCK Zlín";20;0
"Fierla ";"Jan";"CK Feso Petøvald";0;37
"Franta";"Roman";"Racing Olešná";0;42
"Galuška";"Tomáš";"LowellPro Šafrata team Bohumín";20;60
"Gatnar";"Jiøí";"CK Hobby Bohumín B";0;0
"Giraczka";"Martin";"LowellPro Šafrata team Bohumín";0;0
"Grussmann";"Václav";"CK Continental Frenštát p. R. 1";20;46
"Havlíèek";"Robert";"YOGI Racing Ostrava 3";0;48
"Chruòák";"Martin";"YOGI Racing Ostrava 2";0;0
"Jakl";"Jiøí";"Triatlon klub Ostrava";20;31
"Kaiser ";"Zdenìk";;0;0
"Konderla";"Martin";"Skvelakola.cz";20;0
