"Kategorie A";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"MJF"
"Babiánek";"David";"MiKo Cycles";0;30
"Bestwina";"Michal";;0;19
"Bubeník";"Jiøí";"Cykloservis MB";37;27
"Byrtus";"Lukáš";"Skvìlá kola-TJ T Tøinec""A""";36;0
"Cáb";"Martin";"Cyklokramo Suchdol nad Odrou ""A""";0;0
"Diblík";"Jan";"Racing Olešná ""A""";0;15
"Duík";"Josef";"A Bike Club Ostrava ""A""";44;48
"Fierla";"Ondøej";"Team Forman Cinelli";0;46
"FIERLA ";"Jan";"CK Feso Petøvald";0;11
"Figura";"Lukáš";"YOGI Racing Ostrava 2";22;8
"Galatík";"Roman";"CK Continental Frenštát p.R.  1";46;0
"GRUSZCZYK";"Pawel";"Author Pszczyna";34;36
"GRZEMPA";"Jan";"TC Orzel Rabka Zdroj";0;29
"Gubala";"Petr";"CK Kolík Hobby Bohumín ""A""";31;18
"GUCIEBA";"Karol";;30;0
"HAMPL";"Vojtìch";"CK Pøíbram";20;0
"Heczko";"Filip";"Skvìlá kola-TJ T Tøinec""A""";25;0
"HORT";"Jiøí";;0;24
"Hradil";"Jiøí";"FORCE KCK CYKLOTEAM ZLÍN";0;40
"Hradil";"Michal";"FORCE KCK CYKLOTEAM ZLÍN";0;33
"HRACHOVINA";"Eduard";"Forman Cinneli";60;44
"HØIVÒACKİ";"Marek";"Quint bike";0;23
"HUDEÈEK";"Petr";"Forman Cinneli";32;0
"Jakl";"Tomáš";"Lowell Pro Šafrata Team Bohumín";0;0
"Janošek";"Tomáš";"ACK Stará Ves nad Ondøejnicí";0;0
"Klezla";"Martin";"2K-BIKE CLUB Odry";0;0
"KLOS";"Viktor";"Bagbike";0;28
"KORYCZAN";"Adam";"Author Pszczyna";39;32
"KRHUT";"Martin";"SK Bagbike";0;20
"KUCIEBA";"Karol";;"DNF";0
"Kusidlo";"Mariusz";"CK Kolík Hobby Bohumín ""A""";0;34
"LANT";"Antonín";"Forman Cinelli";0;60
"Malošík";"Jan";"CK Orlík Orlová";0;25
"MAREK";"Miroslav";"Forman Cinelli";0;21
"Matula";"Lukáš";"FORCE KCK CYKLOTEAM ZLÍN";55;60
"MÍÈEK";"Ondøej";"Forman Cinelli";0;16
"Mièinec";"Jan";"ACK Stará Ves nad Ondøejnicí";0;0
"Motyka";"Patrik";"A Bike Club Ostrava ""B""";0;9
"Motyka";"Adam";"A Bike Club Ostrava ""A""";27;35
