"Kategorie A";14;;;;;;;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60";"MJV";"StVes";"Paskov";"BÏl·";"VCL";"Td»"
"Matula";"Luk·ö";"FORCE KCK CYKLOTEAM ZLÕN";55;50;0;0;46;48;50;46;0;48;55;60;65;65;56;65;60;60;46;48;44;60;44
"Fierla";"Ond¯ej";"Team Forman Cinelli";0;46;50;0;60;40;48;60;60;60;0;70;0;0;43;58;0;0;48;50;37;0;42
"DuûÌk";"Josef";"A Bike Club Ostrava ""A""";44;48;37;0;30;38;46;40;39;42;"DNF";45;0;0;40;48;46;55;"DNF";"DNF";34;40;33
"Z·ruba";"Petr";"ACK Star· Ves nad Ond¯ejnicÌ";42;31;31;0;20;44;0;55;55;50;0;65;0;0;30;0;0;0;42;44;0;50;37
"BubenÌk";"Ji¯Ì";"Cykloservis MB";37;27;0;0;14;0;39;44;44;44;35;48;52;44;16;60;30;"DNF";0;25;18;42;40
"Kusidlo";"Mariusz";"CK KolÌk Hobby BohumÌn ""A""";0;34;0;0;29;39;35;0;0;0;48;47;45;50;29;54;55;50;0;0;33;0;0
"Motyka";"Adam";"A Bike Club Ostrava ""A""";27;35;33;0;18;21;37;37;31;36;31;37;0;0;0;0;31;44;35;40;25;32;0
"Gubala";"Petr";"CK KolÌk Hobby BohumÌn ""A""";31;18;0;0;8;25;0;50;0;0;0;58;38;0;23;0;38;42;0;30;22;46;39
"Willmann";"Filip";"A Bike Club Ostrava ""A""";26;10;0;0;0;18;30;39;37;34;32;36;0;0;15;47;34;40;32;26;16;35;0
"Byrtus";"Luk·ö";"SkvÏl· kola-TJ Té T¯inec""A""";36;0;0;0;0;30;42;42;48;46;44;52;0;0;0;0;0;0;0;0;28;39;38
"GalatÌk";"Roman";"CK Continental Frenöt·t p.R.  1";46;0;38;0;37;0;55;48;50;0;50;50;0;0;0;70;0;0;0;0;0;0;0
"HRACHOVINA";"Eduard";"Forman Cinneli";60;44;48;0;48;12;0;0;42;39;0;49;0;0;46;0;0;0;0;33;23;0;0
"Jakl";"Tom·ö";"Lowell Pro äafrata Team BohumÌn";0;0;0;0;34;36;40;36;40;0;38;38;0;0;"DNF";56;0;0;0;31;0;0;0
"Motyka";"Patrik";"A Bike Club Ostrava ""B""";0;9;27;0;6;16;29;31;29;32;"DNF";35;0;0;"DNF";44;33;0;0;0;15;31;0
"Z·ruba";"Pavel";"ACK Star· Ves nad Ond¯ejnicÌ";38;26;36;0;38;0;0;0;35;0;36;39;0;0;20;0;0;0;36;29;0;0;0
"Nepraö";"Karel";"ACK Star· Ves nad Ond¯ejnicÌ";50;39;46;0;0;35;0;0;0;0;0;0;0;0;36;0;0;0;50;55;0;0;0
"LANT";"AntonÌn";"Forman Cinelli";0;60;"DNF";0;40;55;60;0;0;0;0;42;0;0;27;0;0;0;0;0;20;0;0
"SWACZYNA";"Petr";"CK Feso Pet¯vald";35;12;0;0;23;42;0;0;0;0;0;54;0;0;48;0;0;0;0;0;38;"DNF";48
"PavlÌk";"Petr";"Racing Oleön· ""A""";0;0;0;0;0;0;32;0;0;0;0;0;0;0;14;50;36;46;30;35;17;37;0
"WALA";"Jan";"LMGKK Zemia Brzeska";48;0;34;0;33;0;0;0;0;0;0;44;0;0;22;0;0;0;38;42;0;0;34
"Babi·nek";"David";"MiKo Cycles";0;30;0;0;25;28;0;0;0;0;0;0;0;0;0;0;40;0;37;39;0;55;36
"Hradil";"Ji¯Ì";"FORCE KCK CYKLOTEAM ZLÕN";0;40;0;0;0;50;0;0;0;55;0;0;0;0;45;0;0;0;0;0;50;48;0
"Reichel";"Sebastian";"Cyklistika pro vöechny Krnov";0;0;0;0;0;0;0;33;30;0;"DNF";0;0;0;24;52;35;"DNF";0;0;29;36;32
"äkoda";"Kristi·n";"CK Continental Frenöt·t p.R.  1";28;37;0;0;0;0;0;35;32;40;34;0;0;0;17;45;0;0;0;0;0;0;0
"MAREK";"Miroslav";"Forman Cinelli";0;21;30;0;0;24;34;0;0;0;42;41;0;0;0;0;37;0;0;0;"DNF";33;0
"Klezla";"Martin";"2K-BIKE CLUB Odry";0;0;0;0;7;20;0;34;34;35;30;0;0;0;"DNF";46;32;0;0;0;19;0;0
