Kategorie A;13;;;
pøíjmení;jméno;klub;Trispol;Olšovec
Alickun;Eduard;Czernica;0;29
BIENIEK;Lukasz;Polska;18;0
BITTNER;Jakub;In Life Cycling Team;42;48
BORÁK;Martin;IN-LIFE CYCLIG TEAM;32;34
BROKEŠ;Rostislav;TEAM FORMAN CINELI;48;60
BRO;Matìj;Superior;0;37
BØEZINA;Tomáš;IN-LIFE CYCLIG TEAM;0;40
Bubeník;Jiøí;Cykloservis MB;27;18
Byrtus;Lukáš;"Skvìlá kola-TJ T Tøinec ""A""";0;32
Èernı;Viktor;YOGI Racing Ostrava 2;0;31
DANÌK;Jiøí;Èeslá spoøitelna - Specialized;0;21
DOMAGALA;Patryk;Legia Corattec;38;0
Duík;Josef;A Bike Club Ostrava;37;26
Fierla;Jan;CK Feso Petøvald;20;25
Fierla;Ondøej;Team Forman Cinelli;55;46
FRKAL;Jakub;TJ Sigma Hranice;0;28
Grepl;Radim;"CK Kolík Hobby Bohumín ""B""";0;0
Heczko;Filip;"Skvìlá kola-TJ T Tøinec ""B""";0;0
Holec;Jakub;Scott Kokot Team;0;16
HORT;Jiøí;;19;0
Hovorka;Ondøej;A Bike Club Ostrava;0;17
Hradil;Jiøí;FORCE KCK CYKLOTEAM ZLÍN;0;50
Hradil;Michal;FORCE KCK CYKLOTEAM ZLÍN;24;30
HRACHOVINA;Eduard;TEAM FORMAN CINELI;40;44
JAGIER ;Mateusz;Polska;44;0
Jakl;Tomáš;Lowell Pro Šafrata Team Bohumín;0;35
Janošek;Tomáš;ACK Stará Ves nad Ondøejnicí;0;27
JAVÙREK;Jiøí;CK CHEMAP Pøerov;0;24
JAVÙREK;Martin;Amenity Extrem Sport Team;0;14
Klezla;Martin;2K-BIKE CLUB Odry;16;20
Kocián;Tomáš;LHOTA TEAM;0;0
Koneènı; Dalibor;A Bike Club Ostrava;0;0
KOTRLA;Michal;Specialized PLANET BIKES TEAM;0;38
Krhut;Martin;CYCLING BRNO BAGBIKE;0;0
Krhut;Jan;TJ Favorit Brno;28;0
KØEŠÁK;Filip;Cycling Brno;36;0
Køístek;Martin;YOGI Racing Ostrava 1;0;0
KUBALA;Petr;CK Feso Petøvald;33;0
KUCEWICZ;Michal;Legia Corattec;17;0
Kusidlo;Mariusz;"CK Kolík Hobby Bohumín ""A""";35;0
LANT;Antonín;TEAM FORMAN CINELI;29;15
Lukša;David;Cyklokramo Suchdol nad Odrou;0;0
MACHALA;Jan;CykloRacing Olomouc;26;0
Marek;Jaroslav;CK Continental Frenštát p.R.  2;0;0
Matula;Lukáš;FORCE KCK CYKLOTEAM ZLÍN;60;55
Motyka;Adam;A Bike Club Ostrava;0;13
MRUZEK;Michal;Head Bike TJ Opava;15;0
Nepraš;Karel;ACK Stará Ves nad Ondøejnicí;0;42
NEVÍDAL;Ondøej;Bohuòovice;50;0
PAC;Pavel;Polska;31;0
PAPULA;Lukáš;EX 23 SARONI FACTORY TEAM;0;22
Pavlík;Petr;"Racing Olešná ""A""";0;0
PETRUŠ;Lubomír;Prestige Team;46;0
PREJDA;Václav;TEAM FORMAN CINELI;30;23
Reichel;Sebastian;;0;0
SATKE;Tomáš;BikeCentrum Olomouc;39;0
Stolaøík;Tomáš;Lowell Pro Šafrata Team Bohumín;0;39
STRAKOŠ;Jaroslav;BikeSport Mohelnice;21;0
STRATIL;Vladislav;CK Brno;25;0
Szlauer;David;"Skvìlá kola-TJ T Tøinec  ""B""";0;0
Škoda;Kristián;CK Continental Frenštát p.R.  1;0;0
Šustr;Vilém;ACK Stará Ves nad Ondøejnicí;0;0
URBÁŠEK;Jan;EX 23 SARONI FACTORY TEAM;34;36
VLÈEK;Pavel;IN-LIFE CYCLIG TEAM;22;19
Willmann;Filip;XxX ;23;0
Záruba;Petr;ACK Stará Ves nad Ondøejnicí;0;0
eravík;Vojtìch;TJ Sigma Hranice;0;33
;;;;
Kategorie B;13;;;
pøíjmení;jméno;klub;Trispol;Olšovec
Androsz;Michal;"CK Kolík Hobby Bohumín ""B""";0;0
Babán;Marcel;Cykloservis MB;0;0
BARTOSZEK;Damian;Legia Corattec;50;0
Bollo;Roman;YOGI Racing Ostrava 2;24;35
BRYCHTA;Jan;Svìt cyklistiky.cz;0;36
BUCHÁÈEK;Tomáš;Whirpool Author Cycling Team;60;0
ÈER;Tomáš;BikeStyle.cz;55;0
Dohnal;Tomáš;Cyklokramo Suchdol nad Odrou;0;0
Foltın;Jiøí;"CK Kolík Hobby Bohumín ""A""";32;40
Fryc;Bohdan;A Bike Club Ostrava;0;38
Galatík;Roman;CK Continental Frenštát p.R.  1;38;37
Gruchala;Vojtìch;TK Ostrava;0;0
Harabiš;Radim;SK Valašského království;0;0
Heinrich;Lukáš;BIKESTYLE.CZ;30;0
Hendrych;David;BIKESTYLE.CZ;0;0
Hlawiczka;Martin;"Skvìlá kola-TJ T Tøinec ""A""";0;44
Holona;Martin;HPEL TEAM;0;0
Chamrád;Jiøí;;0;0
Chocholáè;Jiøí;CK Continental Frenštát p.R.  1;0;55
Javorek;Petr;www.masazprozeny.cz;46;48
Jirásek;Josef;SK MAXBIKE Ostrava;0;0
Jureèka;Roman;CK Continental Frenštát p.R.  1;29;0
KAJNAR;Tomáš;Nutrend Specialized;40;0
KARMELITA;Tomáš;Loko Krnov;28;0
KECHRT ;Tomáš;Pells Team;36;0
Koòaøík;Milan;2K-BIKE CLUB Odry;0;0
KOPECKİ;Tomáš;ZHOR Team;26;0
Kubánek;Martin;Lowell Pro Šafrata Team Bohumín;0;0
Kvapulinskı;Martin;A Bike Club Ostrava;27;39
Mitrenga;Petr;"Skvìlá kola-TJ T Tøinec ""A""";35;46
Motyka;Patrik;A Bike Club Ostrava;0;0
Novotnı;Jiøí;Team Forman Cinelli;20;34
Petøík;Zdenìk;Cyklistika pro všechny Krnov;39;0
Pietrzyk;Vratislav;"Skvìlá kola-TJ T Tøinec ""A""";0;0
POHANKA;Libor;CK Brno;37;0
Przieliorz;Pawel;"CK Kolík Hobby Bohumín ""A""";0;0
PØICHYSTAL;Lukáš;PM Bike idlochovice;44;0
RABL;Martin;BagBike ;22;0
RESS;Tomáš;Bike Galery;33;0
Slavík;Jiøí;FORCE KCK CYKLOTEAM ZLÍN;0;50
Stanìk;Pavel;Cyklosport Pøikryl Stará Ves n. Ondøejnicí;0;0
Straèánek;Petr;CBASE BRNO;23;0
Svoboda;Jan;YOGI Racing Ostrava 1;0;0
SWACZYNA;Petr;CK Feso Petøvald;48;60
Šenkeøík;Jan;FORCE KCK CYKLOTEAM ZLÍN;0;0
Šimon;Vítìzslav;Loko Krnov;25;0
Šmíd;Robert;CYCLING BRNO BAGBIKE;0;0
Šváb;Miroslav;CYCLING BRNO BAGBIKE;0;0
ŠVEC;Ludìk;RD Rımaøov;21;0
Teslík;Petr;YOGI Racing Ostrava 1;0;0
UCHYTIL;Martin;Uherské Hradištì;34;42
Uvíra;Václav;CK Orlík Orlová;0;0
VAŠÍÈEK;Pavel;CykloRacing Olomouc;42;0
Vrábel;David;SK MAXBIKE Ostrava;0;0
VYCHODIL;Tomáš;CykloKoalice Zlaté Hory a Píseèná;31;0
;;;;
Kategorie C;13;;;
pøíjmení;jméno;klub;Trispol;Olšovec
Adámek;Lukáš;CK Feso Petøvald;44;0
Blahut;Radek;SK MAXBIKE Ostrava;31;50
Boszczyk;Norbert;"Skvìlá kola-TJ T Tøinec ""A""";0;0
Buchal;Ivo;"Racing Olešná ""A""";0;0
Èermák;Jan;CYCLING BRNO BAGBIKE;0;0
Èervenı;Lukáš;Cykloservis MB;0;40
Dohnal;Blahoslav;Cyklistika pro všechny Krnov;0;0
Fierla;Jan;CK Feso Petøvald;27;32
Franta;Roman;"Racing Olešná ""A""";0;0
Galuška;Tomáš;CK Continental Frenštát p.R.  1;0;48
Gierc;David;;0;0
Giraczka;Martin;Lowell Pro Šafrata Team Bohumín;0;0
Holub;Tomáš;Cyklokramo Suchdol nad Odrou;0;0
CHALOUPKA;Petr;CykloRacing Olomouc;33;0
CHUDÉJ;Marek;CykloRacing Olomouc;37;0
Chılek;Patrik;CK Continental Frenštát p.R.  2;0;0
Janù;Martin;Silnı team Unièov;39;0
Jaroš;Martin;Racing Olešná „B“;0;0
JÍLEK;Martin;Cyklo Polách Šumperk;29;0
Kaiser;Zdenìk;A Bike Club Ostrava;0;34
KAŠPAR;Petr;CykloKoalice Zlaté Hory a Píseèná;20;0
Klášterka;Tomáš;CK Continental Frenštát p.R.  1;60;60
KOÈVARA;Jiøí;SK AIB Bøidlièná;25;0
Kokeš;Pavel;SK Valašského království;0;46
Koláèek;Petr;CK Feso Petøvald;0;0
Kolorz;Mariusz;"CK Kolík Hobby Bohumín ""A""";22;0
KOUØIL;Martin;Fitko Jeseník;38;0
Kovaøík;Roman;"CK Kolík Hobby Bohumín ""B""";0;0
Krejèiøík;Petr;2K-BIKE CLUB Odry;0;0
Kubala;Janusz;Cykloservis MB;0;0
Lysek;Vladimír;CK Continental Frenštát p.R.  2;0;0
Machotka;Karel;YOGI Racing Ostrava 1;42;0
MAJKUT;Petr;PM Bike idlochovice;40;0
Majtner;Petr;"Skvìlá kola-TJ T Tøinec ""A""";0;0
MIÈUNEK;Jakub;Buldoci Rapotín;19;0
Novák;Milan;XXX Bike Club;0;0
Odvárka;Ivo;FORCE KCK CYKLOTEAM ZLÍN;48;38
ONDERKA;Milan;Yogi Racing Ostrava I.;21;0
PELCL;Petr;Buldoci Rapotín;24;0
Piechaczek;Krzysztof;Lowell Pro Šafrata Team Bohumín;0;0
PODOLSKI;Krysztof;MTB TEAM RMF FM;36;0
PROKEŠ ;Stanislav;Prokeš Team;46;0
Pytel;Jaromír;CYCLING BRNO BAGBIKE;0;55
RADA;Pavel;CK PEMAP;0;36
RADZKI;Tomasz;Dobre Sklepy Rowerove;32;0
ROTTER;Michal;SKP DUHA FORT Lanškroun;0;44
SEDLÁÈEK;Daniel;In Life Cycling Team;30;0
Sedláø;Milan;FORCE KCK CYKLOTEAM ZLÍN;0;0
Schnerch;Martin;"Skvìlá kola-TJ T Tøinec ""A""";26;39
Sieja;Jiøí;YOGI Racing Ostrava 2;0;0
SMRKTA;Ladislav;Silnı Team Unièov;0;42
SUCHARDA;Pavel;Cycling Brno;34;0
Swaczyna;Patrik;CK Feso Petøvald;35;35
SZAFRANIEC;Piotr;MTB-Silesia Rybník;0;37
Šimeèek;Radim;Profily Midar Pøíbor;0;31
ŠVEHLA;Miloslav;Bike Sport Opava;55;0
UCHYTIL;Alois;CykloKoalice Zlaté Hory a Píseèná;23;0
Vodièka;Václav;CYCLING BRNO BAGBIKE;0;0
Wilhelm;Jaroslav;"CK Kolík Hobby Bohumín ""A""";28;33
ZAJÍC;Libor;SportComplex Bøeclav;50;0
;;;;
Kategorie D;13;;;
pøíjmení;jméno;klub;Trispol;Olšovec
Adamèík;Miroslav;Cyklokramo Suchdol nad Odrou;0;39
Baèík;Pavel;2K-BIKE CLUB Odry;0;0
Baier;Jan;Lowell Pro Šafrata Team Bohumín;0;50
Baran;Petr;CYCLING BRNO BAGBIKE;48;44
Beneš;Petr;YOGI Racing Ostrava 1;40;0
Èejka;Petr;Cyklo team KOLARNA;30;0
Daòhel;Mojmír;Cyklistika pro všechny Krnov;35;40
Grussmann;Václav;CK Continental Frenštát p.R.  1;0;30
HAMÁÈEK;Jaroslav;Buldoci Rapotín;19;0
Hlavatík;Ladislav;"Racing Olešná ""A""";0;0
Holeš;Jiøí;"CK Kolík Hobby Bohumín ""A""";27;0
Hrazdílek;Alois;Renokov team;0;27
