Kategorie A;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Alickun;Eduard;Czernica;0;29;0;0;46;33;36;44;44;42;0
BESTWINA;Michal;;0;0;0;0;0;13;0;0;0;0;0
BIENIEK;Lukasz;Polska;18;0;0;0;0;0;0;0;0;0;0
BITTNER;Jakub;In Life Cycling Team;42;48;0;0;0;0;0;0;0;0;0
BORÁK;Martin;IN-LIFE CYCLIG TEAM;32;34;0;0;0;16;0;0;0;0;0
BROKEŠ;Rostislav;TEAM FORMAN CINELI;48;60;0;0;0;0;0;0;0;0;0
BRO;Matìj;Superior;0;37;0;0;0;0;0;0;60;0;0
BØEZINA;Tomáš;IN-LIFE CYCLIG TEAM;0;40;0;0;0;28;0;0;0;0;0
Bubeník;Jiøí;Cykloservis MB;27;18;0;0;42;0;0;34;13;44;42
Byrtus;Lukáš;"Skvìlá kola-TJ T Tøinec ""A""";0;32;0;31;36;15;44;60;36;50;55
Èernı;Viktor;YOGI Racing Ostrava 2;0;31;0;0;39;38;0;42;34;0;38
DANÌK;Jiøí;Èeslá spoøitelna - Specialized;0;21;0;0;0;0;0;0;0;0;0
DOMAGALA;Patryk;Legia Corattec;38;0;0;0;0;0;0;0;0;0;0
Drozd;Tomasz;MBT TEAMS;0;0;0;0;0;24;0;0;0;0;0
Duík;Josef;A Bike Club Ostrava;37;26;0;39;48;31;40;46;29;48;46
Dvorskı;David;Whirpool AUTHOR;0;0;0;0;0;55;0;0;0;0;0
Fierla;Jan;CK Feso Petøvald;20;25;0;0;33;9;0;37;31;36;37
Fierla;Ondøej;Team Forman Cinelli;55;46;0;0;44;40;0;0;46;60;60
Fiolka;Marcin;POLSKA;0;0;0;0;0;20;0;0;0;0;0
FRKAL;Jakub;TJ Sigma Hranice;0;28;0;0;0;0;0;0;0;0;0
Gregoøica;Rene;Erholung Triatlon Team;0;0;0;0;35;0;0;0;0;0;0
Grepl;Radim;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;29;0;0;0;0;0;0
Gruszczyk;Pawel;LKUKS PSZCZYNA;0;0;0;0;0;26;0;0;40;0;0
Heczko;Filip;"Skvìlá kola-TJ T Tøinec ""B""";0;0;0;0;0;0;0;0;0;0;0
Holec;Jakub;Scott Kokot Team;0;16;0;0;0;0;0;0;22;0;0
HORT;Jiøí;;19;0;0;0;0;0;0;0;0;0;0
Hovorka;Ondøej;A Bike Club Ostrava;0;17;0;0;32;0;27;36;0;0;0
Hradil;Jiøí;FORCE KCK CYKLOTEAM ZLÍN;0;50;0;0;0;0;50;0;0;0;0
Hradil;Michal;FORCE KCK CYKLOTEAM ZLÍN;24;30;0;0;0;0;0;38;35;39;0
HRACHOVINA;Eduard;TEAM FORMAN CINELI;40;44;0;0;0;21;0;0;42;37;0
Chmel;Michal;Superior riders;0;0;0;0;0;0;0;0;27;0;0
JAGIER ;Mateusz;Polska;44;0;0;0;0;42;0;0;0;0;0
Jahn;Jiøí;;0;0;0;0;0;0;0;0;24;0;0
Jakl;Tomáš;Lowell Pro Šafrata Team Bohumín;0;35;0;0;0;0;0;0;17;0;35
Janošek;Tomáš;ACK Stará Ves nad Ondøejnicí;0;27;0;0;0;0;0;0;0;0;0
Jasynsky;Martin;Kupnakolo;0;0;0;0;0;0;0;0;0;0;40
JAVÙREK;Jiøí;CK CHEMAP Pøerov;0;24;0;0;0;0;0;0;0;0;0
JAVÙREK;Martin;Amenity Extrem Sport Team;0;14;0;0;0;0;0;0;15;0;0
Josefík;Martin;SYMBIO + Cycling;0;0;0;0;0;0;0;0;38;0;0
Kalita;Tomáš;Mike Bike;0;0;0;0;0;0;0;0;33;0;0
Klezla;Martin;2K-BIKE CLUB Odry;16;20;0;0;0;11;0;0;0;0;0
Klos;Viktor;Bag Bike-Rubing;0;0;0;0;0;0;0;0;0;0;48
Kocián;Tomáš;LHOTA TEAM;0;0;0;0;0;10;0;0;0;0;0
Koneènı; Dalibor;A Bike Club Ostrava;0;0;0;36;38;12;0;0;37;46;0
KOTRLA;Michal;Specialized PLANET BIKES TEAM;0;38;0;0;0;0;0;0;0;0;0
Kraus;Dariusz;Dar-Bud Team;0;0;0;0;0;0;0;0;0;0;34
Krhut;Martin;CYCLING BRNO BAGBIKE;0;0;0;0;0;0;0;0;0;0;0
Krhut;Jan;TJ Favorit Brno;28;0;0;50;50;0;39;48;32;0;0
KØEŠÁK;Filip;Cycling Brno;36;0;0;0;0;0;0;0;0;0;0
Køístek;Martin;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0
KUBALA;Petr;CK Feso Petøvald;33;0;0;0;0;0;0;0;0;0;0
Kubica;Piotr;;0;0;0;0;34;0;0;0;0;0;0
KUCEWICZ;Michal;Legia Corattec;17;0;0;0;0;23;0;0;0;0;0
Kucieba;Karol;Klub Kolarski;0;0;0;0;0;34;0;0;0;0;0
Kusidlo;Mariusz;"CK Kolík Hobby Bohumín ""A""";35;0;0;33;40;19;0;39;23;38;0
LANT;Antonín;TEAM FORMAN CINELI;29;15;0;0;55;17;0;0;16;0;0
Lasák;Matìj;MAX CURSOS OSTRAVA;0;0;0;0;0;48;0;0;0;0;0
Lukša;David;Cyklokramo Suchdol nad Odrou;0;0;0;0;0;0;0;0;19;0;0
MACHALA;Jan;CykloRacing Olomouc;26;0;0;0;0;0;0;0;0;0;0
Marek;Jaroslav;CK Continental Frenštát p.R.  2;0;0;0;0;0;0;0;0;0;0;0
Matoga;Tomasz;TKKF UKLEJNA MYŒLENICE;0;0;0;0;0;0;0;0;25;0;0
Matoszko;Filip Grzegorz;;0;0;0;0;0;18;0;0;0;0;0
Matula;Lukáš;FORCE KCK CYKLOTEAM ZLÍN;60;55;0;0;60;44;55;55;50;55;0
Míèek;Ondøej;;0;0;0;0;0;0;0;0;28;0;0
Motyka;Adam;A Bike Club Ostrava;0;13;0;0;0;0;0;0;14;35;36
MRUZEK;Michal;Head Bike TJ Opava;15;0;0;0;0;0;0;0;0;0;0
Nepraš;Karel;ACK Stará Ves nad Ondøejnicí;0;42;0;0;0;0;0;0;0;0;0
NEVÍDAL;Ondøej;Bohuòovice;50;0;0;0;0;0;0;0;0;0;0
PAC;Pavel;Polska;31;0;0;0;0;0;0;0;0;0;0
Pacan;Mateusz;SK POGON;0;0;0;0;0;32;0;0;0;0;0
PAPULA;Lukáš;EX 23 SARONI FACTORY TEAM;0;22;0;0;0;0;0;0;0;0;0
Pavlík;Petr;"Racing Olešná ""A""";0;0;0;0;0;0;0;35;0;0;0
Pawlak;Grzegorz;Whistle;0;0;0;0;0;0;0;0;55;0;0
Pech;David;Tuèòáèí Tandem;0;0;0;0;31;0;0;0;0;0;0
Petruš;Jiøí;Puskinak.cz;0;0;0;0;0;50;0;0;0;0;0
PETRUŠ;Lubomír;Prestige Team;46;0;0;0;0;0;0;0;0;0;0
PREJDA;Václav;TEAM FORMAN CINELI;30;23;0;0;0;39;0;0;39;0;0
Reichel;Sebastian;;0;0;0;0;0;0;0;0;0;0;0
Robert;Michal;TROSZOK;0;0;0;0;0;27;0;0;0;0;0
SATKE;Tomáš;BikeCentrum Olomouc;39;0;0;0;0;0;0;0;0;0;0
Schıbal;Pavel;;0;0;0;0;0;0;0;0;18;0;0
Stolaøík;Tomáš;Lowell Pro Šafrata Team Bohumín;0;39;0;0;0;0;0;0;30;0;39
Stosz;Patryk;Profesional cycling Team;0;0;0;0;0;60;0;0;0;0;0
STRAKOŠ;Jaroslav;BikeSport Mohelnice;21;0;0;0;0;0;0;0;0;0;0
STRATIL;Vladislav;CK Brno;25;0;0;0;0;0;0;0;0;0;0
Szcepanowski;Bartosz;UCI CONTINENTAL TEAMS;0;0;0;0;0;37;0;0;0;0;0
Szlauer;David;"Skvìlá kola-TJ T Tøinec  ""B""";0;0;0;0;0;0;0;0;0;0;0
Szymanski;Patryk;TC Chrobry Saroni Glogow;0;0;0;0;0;29;0;0;0;0;0
Škoda;Kristián;CK Continental Frenštát p.R.  1;0;0;0;0;0;30;0;40;26;40;44
Šmedek;Josef;SILVINI CYCLING TEAM;0;0;0;0;30;0;0;0;0;0;0
Šustr;Vilém;ACK Stará Ves nad Ondøejnicí;0;0;0;0;0;0;0;0;0;0;0
Tomek;Josef;Denzel CLIFF Wien;0;0;0;0;0;22;0;0;0;0;0
Turek;Kamil;SK POGON;0;0;0;0;0;36;0;0;0;0;0
URBÁŠEK;Jan;EX 23 SARONI FACTORY TEAM;34;36;0;0;0;46;0;0;0;0;0
VLÈEK;Pavel;IN-LIFE CYCLIG TEAM;22;19;0;0;0;14;0;0;0;0;0
Wala;Jan;Ex 23 Saroni Factory Team;0;0;0;0;37;35;0;0;0;0;0
Widzyk;Jan;;0;0;0;0;0;0;0;0;20;0;0
Willmann;Filip;XxX ;23;0;0;0;0;0;0;0;21;0;0
Záruba;Petr;ACK Stará Ves nad Ondøejnicí;0;0;0;0;0;0;0;50;48;0;50
eravík;Vojtìch;TJ Sigma Hranice;0;33;0;0;0;25;0;0;0;0;0
;;;;;;;;;;;;;
Kategorie B;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Androsz;Michal;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;33;0;17;0;0;0;0
Babán;Marcel;Cykloservis MB;0;0;0;0;48;0;0;42;0;0;0
BARTOSZEK;Damian;Legia Corattec;50;0;0;0;0;0;0;0;0;0;0
Bollo;Roman;YOGI Racing Ostrava 2;24;35;0;0;32;33;0;0;0;44;40
BRYCHTA;Jan;Svìt cyklistiky.cz;0;36;0;0;0;0;0;0;0;0;0
BUCHÁÈEK;Tomáš;Whirpool Author Cycling Team;60;0;0;0;0;0;0;0;0;0;0
