Kategorie A;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
Alickun;Eduard;Czernica;0;29;0;0;46;33;36;44;44;42;0;0
BESTWINA;Michal;;0;0;0;0;0;13;0;0;0;0;0;0
BIENIEK;Lukasz;Polska;18;0;0;0;0;0;0;0;0;0;0;0
BITTNER;Jakub;In Life Cycling Team;42;48;0;0;0;0;0;0;0;0;0;0
BOR¡K;Martin;IN-LIFE CYCLIG TEAM;32;34;0;0;0;16;0;0;0;0;0;0
Braulinski; Michal;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;42
BROKEä;Rostislav;TEAM FORMAN CINELI;48;60;0;0;0;0;0;0;0;0;0;0
BROé;MatÏj;Superior;0;37;0;0;0;0;0;0;60;0;0;0
BrzÛzka; Adrian;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;60
BÿEZINA;Tom·ö;IN-LIFE CYCLIG TEAM;0;40;0;0;0;28;0;0;0;0;0;0
BubenÌk;Ji¯Ì;Cykloservis MB;27;18;0;0;42;0;0;34;13;44;42;37
Byrtus;Luk·ö;"SkvÏl· kola-TJ Té T¯inec ""A""";0;32;0;31;36;15;44;60;36;50;55;46
»ern˝;Viktor;YOGI Racing Ostrava 2;0;31;0;0;39;38;0;42;34;0;38;0
DANÃK;Ji¯Ì;»esl· spo¯itelna - Specialized;0;21;0;0;0;0;0;0;0;0;0;0
DOMAGALA;Patryk;Legia Corattec;38;0;0;0;0;0;0;0;0;0;0;0
Drozd;Tomasz;MBT TEAMS;0;0;0;0;0;24;0;0;0;0;0;36
DuûÌk;Josef;A Bike Club Ostrava;37;26;0;39;48;31;40;46;29;48;46;40
Dvorsk˝;David;Whirpool AUTHOR;0;0;0;0;0;55;0;0;0;0;0;0
Fierla;Jan;CK Feso Pet¯vald;20;25;0;0;33;9;0;37;31;36;37;39
Fierla;Ond¯ej;Team Forman Cinelli;55;46;0;0;44;40;0;0;46;60;60;50
Fiolka;Marcin;POLSKA;0;0;0;0;0;20;0;0;0;0;0;0
FRKAL;Jakub;TJ Sigma Hranice;0;28;0;0;0;0;0;0;0;0;0;0
Grego¯ica;Rene;Erholung Triatlon Team;0;0;0;0;35;0;0;0;0;0;0;0
Grepl;Radim;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;29;0;0;0;0;0;0;0
Gruszczyk;Pawel;LKUKS PSZCZYNA;0;0;0;0;0;26;0;0;40;0;0;0
Heczko;Filip;"SkvÏl· kola-TJ Té T¯inec ""B""";0;0;0;0;0;0;0;0;0;0;0;33
Holec;Jakub;Scott Kokot Team;0;16;0;0;0;0;0;0;22;0;0;0
HORT;Ji¯Ì;;19;0;0;0;0;0;0;0;0;0;0;0
Hovorka;Ond¯ej;A Bike Club Ostrava;0;17;0;0;32;0;27;36;0;0;0;0
Hradil;Ji¯Ì;FORCE KCK CYKLOTEAM ZLÕN;0;50;0;0;0;0;50;0;0;0;0;0
Hradil;Michal;FORCE KCK CYKLOTEAM ZLÕN;24;30;0;0;0;0;0;38;35;39;0;34
HRACHOVINA;Eduard;TEAM FORMAN CINELI;40;44;0;0;0;21;0;0;42;37;0;35
Chmel;Michal;Superior riders;0;0;0;0;0;0;0;0;27;0;0;0
JAGIER ;Mateusz;Polska;44;0;0;0;0;42;0;0;0;0;0;0
Jahn;Ji¯Ì;;0;0;0;0;0;0;0;0;24;0;0;0
Jakl;Tom·ö;Lowell Pro äafrata Team BohumÌn;0;35;0;0;0;0;0;0;17;0;35;0
Janoöek;Tom·ö;ACK Star· Ves nad Ond¯ejnicÌ;0;27;0;0;0;0;0;0;0;0;0;0
Jasynsky;Martin;Kupnakolo;0;0;0;0;0;0;0;0;0;0;40;0
JAVŸREK;Ji¯Ì;CK CHEMAP P¯erov;0;24;0;0;0;0;0;0;0;0;0;0
JAVŸREK;Martin;Amenity Extrem Sport Team;0;14;0;0;0;0;0;0;15;0;0;0
JosefÌk;Martin;SYMBIO + Cycling;0;0;0;0;0;0;0;0;38;0;0;0
Kalita;Tom·ö;Mike Bike;0;0;0;0;0;0;0;0;33;0;0;0
Klezla;Martin;2K-BIKE CLUB Odry;16;20;0;0;0;11;0;0;0;0;0;0
Klos;Viktor;Bag Bike-Rubing;0;0;0;0;0;0;0;0;0;0;48;0
Koci·n;Tom·ö;LHOTA TEAM;0;0;0;0;0;10;0;0;0;0;0;0
KoneËn˝; Dalibor;A Bike Club Ostrava;0;0;0;36;38;12;0;0;37;46;0;0
KOTRLA;Michal;Specialized PLANET BIKES TEAM;0;38;0;0;0;0;0;0;0;0;0;0
Kozak;M.J.;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;48
Kraus;Dariusz;Dar-Bud Team;0;0;0;0;0;0;0;0;0;0;34;0
Krhut;Martin;CYCLING BRNO BAGBIKE;0;0;0;0;0;0;0;0;0;0;0;0
Krhut;Jan;TJ Favorit Brno;28;0;0;50;50;0;39;48;32;0;0;0
KÿEäç¡K;Filip;Cycling Brno;36;0;0;0;0;0;0;0;0;0;0;0
K¯Ìstek;Martin;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0;0
KUBALA;Petr;CK Feso Pet¯vald;33;0;0;0;0;0;0;0;0;0;0;0
Kubica;Piotr;;0;0;0;0;34;0;0;0;0;0;0;0
KUCEWICZ;Michal;Legia Corattec;17;0;0;0;0;23;0;0;0;0;0;0
Kucieba;Karol;Klub Kolarski;0;0;0;0;0;34;0;0;0;0;0;0
Kusidlo;Mariusz;"CK KolÌk Hobby BohumÌn ""A""";35;0;0;33;40;19;0;39;23;38;0;0
LANT;AntonÌn;TEAM FORMAN CINELI;29;15;0;0;55;17;0;0;16;0;0;0
Las·k;MatÏj;MAX CURSOS OSTRAVA;0;0;0;0;0;48;0;0;0;0;0;0
Luköa;David;Cyklokramo Suchdol nad Odrou;0;0;0;0;0;0;0;0;19;0;0;0
MACHALA;Jan;CykloRacing Olomouc;26;0;0;0;0;0;0;0;0;0;0;0
Marek;Jaroslav;CK Continental Frenöt·t p.R.  2;0;0;0;0;0;0;0;0;0;0;0;0
Matoga;Tomasz;TKKF UKLEJNA MYåLENICE;0;0;0;0;0;0;0;0;25;0;0;0
Matoszko;Filip Grzegorz;;0;0;0;0;0;18;0;0;0;0;0;0
Matula;Luk·ö;FORCE KCK CYKLOTEAM ZLÕN;60;55;0;0;60;44;55;55;50;55;0;44
Michalek;Mariusz;JBG-2 Team;0;0;0;0;0;0;0;0;0;0;0;55
MÌËek;Ond¯ej;;0;0;0;0;0;0;0;0;28;0;0;0
Motyka;Adam;A Bike Club Ostrava;0;13;0;0;0;0;0;0;14;35;36;32
MRUZEK;Michal;Head Bike TJ Opava;15;0;0;0;0;0;0;0;0;0;0;0
Nepraö;Karel;ACK Star· Ves nad Ond¯ejnicÌ;0;42;0;0;0;0;0;0;0;0;0;0
NEVÕDAL;Ond¯ej;BohuÚovice;50;0;0;0;0;0;0;0;0;0;0;0
PAC;Pavel;Polska;31;0;0;0;0;0;0;0;0;0;0;0
Pacan;Mateusz;SK POGON;0;0;0;0;0;32;0;0;0;0;0;0
PAPULA;Luk·ö;EX 23 SARONI FACTORY TEAM;0;22;0;0;0;0;0;0;0;0;0;0
PavlÌk;Petr;"Racing Oleön· ""A""";0;0;0;0;0;0;0;35;0;0;0;0
Pawlak;Grzegorz;Whistle;0;0;0;0;0;0;0;0;55;0;0;0
Pech;David;TuËÚ·ËÌ Tandem;0;0;0;0;31;0;0;0;0;0;0;0
Petruö;Ji¯Ì;Puskinak.cz;0;0;0;0;0;50;0;0;0;0;0;0
PETRUä;LubomÌr;Prestige Team;46;0;0;0;0;0;0;0;0;0;0;0
PREJDA;V·clav;TEAM FORMAN CINELI;30;23;0;0;0;39;0;0;39;0;0;0
Reichel;Sebastian;;0;0;0;0;0;0;0;0;0;0;0;0
Robert;Michal;TROSZOK;0;0;0;0;0;27;0;0;0;0;0;0
SATKE;Tom·ö;BikeCentrum Olomouc;39;0;0;0;0;0;0;0;0;0;0;0
Sch˝bal;Pavel;;0;0;0;0;0;0;0;0;18;0;0;0
Stola¯Ìk;Tom·ö;Lowell Pro äafrata Team BohumÌn;0;39;0;0;0;0;0;0;30;0;39;0
Stosz;Patryk;Profesional cycling Team;0;0;0;0;0;60;0;0;0;0;0;0
