Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;GPF;Stonava;ML60;MJV;Paskov;BÏl·
Fierla;Ond¯ej;Team Forman Cinelli;55;46;0;0;44;40;0;0;46;60;60;50;0;55;75;46;70;41;0;55;0;48;31
Matula;Luk·ö;FORCE KCK CYKLOTEAM ZLÕN;60;55;0;0;60;44;55;55;50;55;0;44;60;46;0;56;0;60;0;50;0;42;34
Byrtus;Luk·ö;"SkvÏl· kola-TJ Té T¯inec ""A""";0;32;0;31;36;15;44;60;36;50;55;46;46;0;63;49;56;37;60;37;0;35;27
DuûÌk;Josef;A Bike Club Ostrava;37;26;0;39;48;31;40;46;29;48;46;40;42;0;61;44;47;0;0;48;60;36;38
Kusidlo;Mariusz;"CK KolÌk Hobby BohumÌn ""A""";35;0;0;33;40;19;0;39;23;38;0;0;39;40;57;45;52;44;49;38;0;0;0
!!! Alickun;Eduard;Czernica;0;29;0;0;46;33;36;44;44;42;0;0;35;0;41;0;0;39;70;36;0;0;40
KoneËn˝; Dalibor;A Bike Club Ostrava;0;0;0;36;38;12;0;0;37;46;0;0;40;0;55;38;38;47;54;40;0;0;26
Hradil;Michal;FORCE KCK CYKLOTEAM ZLÕN;24;30;0;0;0;0;0;38;35;39;0;34;34;34;50;40;35;33;50;30;50;34;23
äkoda;Kristi·n;CK Continental Frenöt·t p.R.  1;0;0;0;0;0;30;0;40;26;40;44;38;37;0;54;37;39;30;52;29;0;0;21
BubenÌk;Ji¯Ì;Cykloservis MB;27;18;0;0;42;0;0;34;13;44;42;37;31;0;49;41;30;24;56;0;0;0;0
Krhut;Jan;TJ Favorit Brno;28;0;0;50;50;0;39;48;32;0;0;0;0;0;0;0;0;26;65;39;48;0;0
Z·ruba;Petr;ACK Star· Ves nad Ond¯ejnicÌ;0;0;0;0;0;0;0;50;48;0;50;0;55;37;0;43;0;48;0;60;0;33;0
Fierla;Jan;CK Feso Pet¯vald;20;25;0;0;33;9;0;37;31;36;37;39;32;0;51;0;0;42;0;28;0;0;0
»ern˝;Viktor;YOGI Racing Ostrava 2;0;31;0;0;39;38;0;42;34;0;38;0;38;0;52;0;32;0;0;0;0;44;0
PREJDA;V·clav;TEAM FORMAN CINELI;30;23;0;0;0;39;0;0;39;0;0;0;0;0;53;0;0;43;0;46;0;40;30
URB¡äEK;Jan;EX 23 SARONI FACTORY TEAM;34;36;0;0;0;46;0;0;0;0;0;0;0;42;65;0;0;0;0;0;0;60;48
Hradil;Ji¯Ì;FORCE KCK CYKLOTEAM ZLÕN;0;50;0;0;0;0;50;0;0;0;0;0;50;0;0;0;0;56;0;0;0;55;46
BITTNER;Jakub;In Life Cycling Team;42;48;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;40;0;0;55;50;37
HRACHOVINA;Eduard;TEAM FORMAN CINELI;40;44;0;0;0;21;0;0;42;37;0;35;0;0;42;0;0;0;0;31;0;0;0
