Kategorie A;13;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna
Bubeník;Jiøí;_Cykloservis MB;0;0;0;0
Byrtus;Lukáš;_TJ T Tøinec;0;39;25;33
Èernı;Viktor;_KILPI RACING TEAM OSTRAVA;12;35;0;0
Fierla;Jan;_CK Feso Petøvald;20;19;16;0
Fierla;Ondøej;_Team Forman Cinelli;35;29;0;0
Fišer;Vojtìch;_Racing Olešná;0;0;0;0
Galatík;Roman;_CK Continental Frenštát p.R.  1;48;0;60;0
Hradil;Michal;_FORCE KCK ZLÍN;23;32;46;32
Chodyniecki;Petr;_Cyklistika pro všechny Krnov;30;0;39;0
Jakl;Tomáš;_Lowell Pro Šafrata Team Bohumín;0;0;0;0
Janák;Lukáš;_CK Continental Frenštát p.R.  2;0;14;35;0
Josefík;Martin;_FORCE KCK ZLÍN;11;18;18;31
Klezla;Martin;_2K-BIKE CLUB Odry;0;15;29;0
Koneènı; Dalibor;_KILPI RACING TEAM OSTRAVA;31;40;0;0
Kraus;Dariusz;_DAR BUD TEAM;0;26;40;11
Køešák;Filip;_CYCLING BRNO;0;0;0;0
Kusidlo;Mariusz;_DAR BUD TEAM;38;44;37;36
Lukša;David;_Cyklokramo Suchdol nad Odrou;25;24;0;0
Malatek;Vojtìch;_CK Orlík Orlová;0;0;0;0
Meišner;Libor;_CYCLING BRNO;0;0;0;0
Muzyk;Mateusz;_DAR BUD TEAM;0;0;0;0
Nepraš;Karel;_ACK Stará Ves nad Ondøejnicí;15;0;0;0
Pavlík;Petr;_Racing Olešná;0;0;0;0
Poláèik;Martin;_CK Continental Frenštát p.R.  1;0;0;15;1
Reichel;Sebastian;_Cyklistika pro všechny Krnov;0;0;0;0
Schichel;Jakub;_ACK Stará Ves nad Ondøejnicí;0;0;38;0
Stolaøík;Tomáš;_Lowell Pro Šafrata Team Bohumín;44;46;42;0
Škoda;Kristián;_CK Continental Frenštát p.R.  1;27;28;23;0
Vávra;Marek;_ACK Stará Ves nad Ondøejnicí;24;33;33;0
Veleckı;Tomáš;_YOGI Racing Ostrava 1;0;0;0;0
Záruba;Petr;_ACK Stará Ves nad Ondøejnicí;39;55;21;0
Záruba;Pavel;_ACK Stará Ves nad Ondøejnicí;17;21;24;0
;;;;;;
Kategorie B;13;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna
Bollo;Roman;_YOGI Racing Ostrava 1;25;33;29;27
Èer;Tomáš;Bikestyle.cz;36;0;0;0
Dohnal;Tomáš;_Cyklokramo Suchdol nad Odrou;0;0;39;0
Ïurica;Jiøí;Team LightBIKE;0;0;0;0
Duík;Josef;_KILPI RACING TEAM OSTRAVA;48;60;55;40
Foltın;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;25;0
Grigorescu;Lubor;TJ Ronov p. Radhoštìm;32;0;0;0
Gruchala;Vojtìch;_Lowell Pro Šafrata Team Bohumín;0;0;27;0
Haltof;Aleš;;0;0;0;0
Harabiš;Radim;SK Valašského království;0;0;0;0
Heinrich;Lukáš;Bikestyle.cz;37;40;28;0
Hlavatík;Jan;_Racing Olešná;19;0;0;0
Hlawiczka;Martin;_Skvìlá kola;28;39;44;0
Holackı;Miroslav;_TJ T Tøinec;0;0;24;0
Holona;Martin;HPEL TEAM;27;36;35;0
Hradil;Jiøí;_FORCE KCK ZLÍN;0;55;60;0
Chamrád;Jiøí;;0;0;34;0
Chudı;Jan;_TJ T Tøinec;0;0;46;18
Javorek;Petr;_Skvìlá kola;0;0;26;0
Jureèka;Roman;_CK Continental Frenštát p.R.  1;0;0;33;0
Kokeš;Pavel;SK Valašského království;0;0;0;0
Kozák;Pavel;_Cyklokramo Suchdol nad Odrou;0;0;0;0
Krhut;Martin;_SK Bagbike Rubing;0;34;0;0
Kvapulinskı;Martin;Team LightBIKE;0;0;0;0
Mitrenga;Petr;_Skvìlá kola;38;0;42;39
Motyka;Patrik;_KILPI RACING TEAM OSTRAVA;55;44;31;38
Petøík;Zdenìk;_Cyklistika pro všechny Krnov;33;0;0;0
Slavík;Jiøí;_FORCE KCK ZLÍN;46;42;40;55
Stanìk;Pavel;Cyklosport Pøikryl Stará Ves n. Ondøejnicí;17;0;0;0
Šmíd;Robert;_CYCLING BRNO;0;0;0;0
Uvíra;Václav;_CK Orlík Orlová;0;0;0;0
;;;;;;
Kategorie C;13;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna
Adámek;František;_ACS DRAK VRBNO;23;32;0;0
Babán;Marcel;_Cykloservis MB;0;0;30;0
Beníèek;Tomáš;_CK Continental Frenštát p.R.  2;0;0;19;0
Blahut;Radek;SK MAXBIKE;0;0;60;0
Cienciala;Bronislav;_TJ T Tøinec;0;0;0;0
Èermák;Jan;_SK Bagbike Rubing;0;0;0;0
Èervenı;Lukáš;_Cykloservis MB;0;0;0;0
Fierla;Jan;_CK Feso Petøvald;27;31;23;0
Fryc;Bohdan;_KILPI RACING TEAM OSTRAVA;38;0;26;0
Galuška;Tomáš;_FORCE KCK ZLÍN;40;46;42;25
Gierc;David;;0;0;27;0
Hrubı;Martin;_SK Bagbike Rubing;33;44;44;0
Janczura;Piotr;_DAR BUD TEAM;0;39;46;0
Jaroš;Martin;_Racing Olešná;0;0;0;0
Kaiser;Zdenìk;_KILPI RACING TEAM OSTRAVA;0;38;37;0
Karásek;Jiøí;_Racing Olešná;0;0;34;0
Klášterka;Tomáš;_CK Continental Frenštát p.R.  1;60;60;50;0
Koláèek;Petr;_CK Feso Petøvald;0;0;0;0
Kolorz;Mariusz;"_CK Kolík Hobby Bohumín ""A""";0;0;31;0
Kubala;Janusz;_Cykloservis MB;0;36;0;0
Machotka;Karel;_YOGI Racing Ostrava 1;48;0;0;0
Majtner;Petr;_Skvìlá kola;0;0;0;0
Míèek;Roman;_ACS DRAK VRBNO;24;35;0;0
Odvárka;Ivo;_FORCE KCK ZLÍN;50;42;40;60
Onderka;Milan;_YOGI Racing Ostrava 1;44;0;32;0
Orzadala;Patrik;SKP Ostrava;32;0;29;0
Pietrzyk;Vratislav;_Skvìlá kola;0;0;48;0
Pytel;Jaromír;_SK Bagbike Rubing;55;50;0;0
Sedláø;Milan;CYKLOTEAM ZLÍN;0;37;0;0
Schnerch;Martin;_Skvìlá kola;30;40;36;0
Sieja;Jiøí;_YOGI Racing Ostrava 2;0;0;0;0
Sucharda;Pavel;_CYCLING BRNO;0;0;0;0
Swaczyna;Patrik;_CK Feso Petøvald;0;33;38;0
Šváb;Miroslav;_CYCLING BRNO;0;0;0;0
Švan;Miroslav;_ACS DRAK VRBNO;0;0;0;0
Vodièka;Václav;_CYCLING BRNO;0;0;0;0
Wilhelm;Jaroslav;"_CK Kolík Hobby Bohumín ""A""";0;0;0;0
Wyszynski;Dariusz;_DAR BUD TEAM;0;0;24;0
Zámeèník;Ivo;_CK Continental Frenštát p.R.  1;31;0;33;0
