Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Fierla;Ondøej;Team Forman Cinelli;35;29;0;0;0;39;70;60;60;60;0;55;75;0;0;55;60;0;60;60;33;0
Chodyniecki;Petr;Cyklistika pro všechny Krnov;30;0;39;44;46;26;58;50;55;50;70;0;0;44;48;46;33;50;36;0;37;0
Byrtus;Lukáš;TJ T Tøinec;0;39;25;33;50;28;56;0;46;55;58;0;28;52;0;42;0;40;37;37;30;40
Koneènı; Dalibor;KILPI RACING TEAM OSTRAVA;31;40;0;0;42;19;50;46;48;0;0;0;59;0;39;40;24;48;48;0;0;50
Vávra;Marek;ACK Stará Ves nad Ondøejnicí;24;33;33;0;44;0;46;0;36;0;48;39;55;46;0;0;25;60;0;50;0;0
Hradil;Michal;FORCE KCK ZLÍN;23;32;46;32;34;32;49;40;30;40;0;34;44;0;0;36;11;35;31;46;0;32
Schichel;Jakub;ACK Stará Ves nad Ondøejnicí;0;0;38;0;40;0;45;0;35;0;0;38;50;43;35;0;23;36;46;38;28;0
Kusidlo;Mariusz;DAR BUD TEAM;38;44;37;36;48;38;0;0;0;0;0;0;49;0;49;44;21;0;44;0;35;0
Fierla;Jan;CK Feso Petøvald;20;19;16;0;36;31;0;42;40;46;50;42;53;0;0;38;15;0;33;0;32;0
Lukša;David;Cyklokramo Suchdol nad Odrou;25;24;0;0;0;0;43;0;50;48;46;44;51;0;0;0;20;0;35;44;36;0
Josefík;Martin;FORCE KCK ZLÍN;11;18;18;31;38;27;48;48;42;42;44;0;0;0;0;0;19;0;0;0;0;37
Záruba;Petr;ACK Stará Ves nad Ondøejnicí;39;55;21;0;0;0;60;0;44;0;52;37;0;0;0;0;0;0;0;0;0;0
Stolaøík;Tomáš;Lowell Pro Šafrata Team Bohumín;44;46;42;0;0;0;0;0;37;0;45;0;0;0;0;0;34;0;0;48;0;0
Galatík;Roman;CK Continental Frenštát p.R.  1;48;0;60;0;0;0;0;0;0;0;0;0;65;0;0;50;0;0;0;0;0;0
Poláèik;Martin;CK Continental Frenštát p.R.  1;0;0;15;1;35;0;0;37;0;0;43;0;45;0;0;0;0;30;0;0;0;0
Èernı;Viktor;KILPI RACING TEAM OSTRAVA;12;35;0;0;0;21;47;0;33;0;0;0;54;0;0;0;0;0;0;0;0;0
Kraus;Dariusz;DAR BUD TEAM;0;26;40;11;0;23;0;0;0;0;0;0;38;0;0;0;22;0;0;0;0;0
Janák;Lukáš;CK Continental Frenštát p.R.  2;0;14;35;0;0;0;0;44;39;0;0;0;0;0;0;0;0;0;0;0;0;0
Škoda;Kristián;CK Continental Frenštát p.R.  1;27;28;23;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0
Pavlík;Petr;Racing Olešná;0;0;0;0;39;0;42;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0
Køešák;Filip;CYCLING BRNO;0;0;0;0;0;0;0;0;0;0;0;0;57;0;45;0;0;0;0;0;0;0
Jakl;Tomáš;Lowell Pro Šafrata Team Bohumín;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0
Klezla;Martin;2K-BIKE CLUB Odry;0;15;29;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0
Záruba;Pavel;ACK Stará Ves nad Ondøejnicí;17;21;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meišner;Libor;CYCLING BRNO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0
Fišer;Vojtìch;Racing Olešná;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Muzyk;Mateusz;DAR BUD TEAM;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malatek;Vojtìch;CK Orlík Orlová;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0
