Kategorie A;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Babiánek;David;IN-LIFE Cycling Team/Puskinak.cz;0;44;50;0;50;20;0;0;0;34;0;0;0;0;0;0
Borák;Martin;IN-LIFE Cycling Team/Puskinak.cz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bubeník;Jiøí;Cykloservis MB;0;0;0;0;38;0;36;0;0;0;0;0;0;0;0;0
Bulawa;David;TJ T Tøinec;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Byrtus;Lukáš;TJ T Tøinec;39;20;38;0;48;0;55;50;0;0;52;45;0;0;46;0
Èernı;Viktor;CK Continental Frenštát p. R.  1;0;15;0;39;0;0;37;0;0;0;0;0;48;0;0;0
Dluhı ;Martin;CK Continental Frenštát p. R.  1;0;0;0;0;31;0;0;32;0;0;0;0;0;0;44;0
Haladus;Szymon;Cyklosport HF Opava-Bikestyle.cz;30;27;33;32;36;11;34;0;0;0;49;0;0;0;0;0
Haltof;Tomáš;;0;9;0;0;32;0;32;31;0;0;0;38;0;0;0;0
Hruška;Daniel;Cyklokramo Suchdol nad Odrou;0;23;31;0;34;14;35;0;28;0;0;0;0;0;42;0
Chodyniecki; Piotr;Cyklosport HF Opava-Bikestyle.cz;55;50;60;46;0;40;40;55;48;50;58;60;50;0;60;0
Janák;Lukáš;CK Continental Frenštát p. R.  1;0;0;0;0;0;0;0;35;29;0;0;0;0;0;0;0
Jarma;Ctirad;IN-LIFE Cycling Team/Puskinak.cz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Josefík;Martin;FORCE KCK ZLÍN;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0
Kalita;Tomáš;SK Bagbike;0;22;39;0;0;0;0;0;0;33;0;0;0;0;0;0
Koneènı ; Dalibor;KILPI RACING TEAM OSTRAVA ;0;25;48;33;46;24;46;44;42;0;0;41;55;48;0;44
Koøínek;Tomáš;CK Continental Frenštát p. R.  1;32;17;0;0;0;10;33;0;25;0;0;0;0;0;0;0
