"Kategorie A";12;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC"
"Alickun";"Eduard";"TJ Kolík Bohumín 1";0;29;24;48;0;"DNF";50;0;0;0;0
"Bastwina";"Michal";"UKS Sokol Kety";0;0;0;42;0;0;0;0;0;0;0
"BRO";"Matìj";"Team Forman Cinelli";0;0;33;0;0;0;0;0;0;0;0
"Bubeník";"Jiøí";"CykloservisMB-Airoo";0;34;16;35;0;"DNF";0;42;44;0;0
"BUCHÁÈEK";"Tomáš";"Whirpool Author";0;0;55;0;0;0;0;0;0;0;0
"BUKSA";"Dominik";"Èeská spoøitelna Sp.";0;0;40;0;0;0;0;0;0;0;0
"CIELEPAK";"Marcin";"Gliwice";0;0;25;0;0;0;0;0;0;0;0
"Cimbálník";"Pavel";"Cyklo MXM Hulín";20;40;0;0;44;48;0;44;60;0;0
"Èer";"Tomáš";"Bikestyle.cz";20;0;29;0;50;0;0;0;0;0;0
"Èernı ";"Josef";"Wibatech";0;0;0;0;0;0;0;60;0;0;0
"Èernı";"Viktor";"YOGI Racing Ostrava 1";0;0;0;0;0;0;0;0;0;0;0
"DANÌK";"Tomáš";"Eleven Benefit";0;0;1;0;0;0;0;0;0;0;0
"Darboøák";"Antonín";;0;0;0;0;0;0;0;36;0;0;0
"Diblík";"Jan";"Racing Olešná";0;26;22;0;38;"DNF";0;35;0;0;0
"Drozdsz";"Tomasz";"MTB Team UCI";20;0;0;0;0;0;0;0;55;0;0
"Fierla";"Ondøej";"TEAM FORMAN CINELLI";0;48;36;0;0;0;0;0;0;0;0
"Galatík";"Roman";"CK Continental Frenštát p. R. 1";20;46;0;60;55;60;60;46;0;50;44
"Grepl";"Radim";"CK Hobby Bohumín B";0;0;0;0;0;0;0;0;0;0;0
"Gruchala";"Vojtìch";"Triatlon klub Ostrava";20;28;6;29;31;36;50;32;0;31;0
"Hamáèek";"Jaroslav";"ACS DRAK VRBNO";20;0;0;0;0;0;0;0;0;0;0
"Haman";"Martin";"MILKA-Superior";20;0;0;0;0;0;0;0;0;0;0
"HAMPL";"Petr";"Favorit Brno";0;0;48;0;60;0;0;0;0;0;0
"HAMSA";"Martin";"Superior riders";0;0;31;0;0;0;0;0;0;0;0
"Helebrandt";"Pavel";"BSS OPAVA";20;0;19;0;0;0;0;0;0;0;0
"HUDEÈEK";"Petr";"Team Forman Cinelli";0;0;35;0;0;0;0;0;0;0;0
"Jablonski";"Marcin";;20;0;0;0;0;0;0;0;0;0;0
"Janiczek";"Roman";"TJ T Tøinec";0;0;0;0;0;0;0;0;36;0;0
"Janošek";"Tomáš";"ACK Stará Ves nad Ondøejnicí";0;42;0;0;0;0;0;0;0;0;0
"JANOUŠEK";"Jiøí";"KC Brno";0;0;8;0;0;0;0;0;0;0;0
"Kalita";"Tomáš";"YOGI Racing Ostrava 3";0;33;20;32;0;0;0;0;0;0;0
"Klíma";"Jirka";"CK Pøerov";0;44;0;0;0;0;0;0;0;0;0
"Kloda";"Petr";"Novatop-Lapierre";0;0;0;0;30;0;0;0;0;0;0
"Klos";"Viktor";"Sk JIØÍ TEAM";0;0;0;0;0;55;0;0;0;0;0
"Kohoutek";"Martin";"Kopøivnice";0;0;0;0;0;0;0;34;0;0;0
"Kokošek";"Oldøich";"Novatop-Lapierre";20;0;18;0;36;0;0;0;0;0;0
"Košák";"Lukáš";"Racing Olešná";0;20;0;0;0;0;0;0;0;0;0
"Kozák";"Pavel";"Cyklokramo Suchdol n. O. 2";0;0;3;0;0;0;0;0;0;0;0
"KOUŠNÍK";"Adam";"Team Forman Cinelli";0;0;39;0;0;0;0;0;0;0;0
"KUBÁNEK";"Martin";;0;0;15;33;0;0;0;0;0;0;0
"Kubínek";"Aleš";"CK Hobby Bohumín B";0;0;0;0;0;0;0;0;0;0;0
"Kusidlo ";"Mariusz";"CK Hobby Bohumín A ";0;38;0;44;48;"DNF";0;0;0;0;0
"Kvapulínskı";"Martin";"Cube-Light";20;39;37;31;0;50;0;0;50;40;28
"Kvarda";"Roman";"Racing Olešná ";0;25;0;0;0;0;0;0;0;0;0
"Lasák";"Matìj";"MAX CURSOR Ostrava";0;60;60;0;0;0;0;0;0;0;0
"Malošík";"Jan";"CK Orlík Orlová";0;0;0;0;0;0;0;0;0;0;0
"Marek";"Jaroslav";"Bohemia Cycling BMC";0;0;0;50;0;0;0;0;0;0;0
"Marek";"Miroslav";"SKOTT-Bicykly";0;0;17;0;0;0;0;33;0;0;0
"Markos";"Tanas";"CK Frenštát";20;0;0;0;0;0;0;0;0;0;0
"Maták";"Andrej";"Cykloklub Kysuce";0;27;0;27;0;0;0;0;0;0;0
"MATULA";"Lukáš";"Team Forman Cinelli";0;0;44;0;0;0;0;0;0;0;0
"MATUŠÙ";"Miroslav";;0;0;1;0;0;0;0;0;0;0;0
"MÍÈEK";"Ondøej";"Team Forman Cinelli";0;0;38;0;"DNF";0;0;0;0;0;0
"MRUZEK";"Michal";"SUNDANCE ";0;0;7;40;0;0;0;0;0;0;0
"Musiol";"Lukáš";"YOGI Racing Ostrava 2";0;21;0;0;0;0;0;28;0;0;0
"Musiol";"Jakub";"Yogi Racing Ostrava";20;0;0;0;0;0;0;0;38;0;0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";0;50;14;0;0;0;0;0;0;0;0
"Neulinger";"Ondøej";"SK Jiøí Tream Ostrava";20;0;0;0;0;0;0;0;0;0;0
"Novák";"Vlastimil";"Vsetín";0;0;0;38;39;38;0;30;0;0;0
"Olejník";"Martin";"Bruntál";20;0;0;0;0;0;0;0;0;0;0
"Ondrašík";"Richard";"CK Feso Petøvald";0;32;0;26;35;"DNF";0;0;0;0;0
"Palider";"Jan";"Triatlon klub Ostrava";0;23;2;28;0;0;0;0;0;0;0
"Parma";"Krzysztof";"Kól BSZ Lublin";0;0;0;36;0;0;0;0;0;0;0
"Pastušek ";"Jan";"SK Maxbike Orlová";0;22;23;34;42;0;0;0;0;0;0
"Pavlík ";"Jan";"Racing Olešná";0;0;0;0;33;39;0;31;39;0;0
"Pavlík ";"Petr";"Racing Olešná";20;31;26;46;46;40;50;38;42;0;0
"Pilèík";"Adam";"Bikestyle.cz";20;0;27;0;37;0;0;0;0;0;0
"PLEVÁK";"Ivo";"Max Cursor";0;0;46;55;"DNF";0;0;55;0;0;0
"Prouza";"Martin";"Triatlon klub Ostrava";0;0;0;37;0;0;0;0;0;0;0
"Pøichystal";"Lukáš";"PM Bike idlochovice";20;0;0;0;0;0;0;0;0;0;0
"Rohel";"Bøetislav";"Bikestyle.cz";20;0;50;0;0;0;0;0;0;0;0
"Rut";"Ondøej";"Triatlon klub Ostrava";0;0;5;0;0;0;0;0;0;0;0
"Øeháèek";"Vojtìch";"BSS OPAVA";20;0;0;0;0;0;0;0;0;0;0
"Salomon";"Marek";"SK Maxbike Orlová";0;24;4;25;0;0;0;29;0;0;0
"Satke";"Tomáš";"BSS OPAVA";20;0;0;0;0;0;0;0;0;0;0
"Sedláèek";"Marek";"SK Jiøí team";0;0;0;24;40;42;0;0;0;0;0
"SLONINA";"Ludìk";"Lokomotiva Krnov";0;0;9;0;0;0;0;0;0;0;0
"Sobek";"Ondøej";"CK Hobby Bohumín A ";0;0;0;0;0;0;0;0;0;0;0
"Sosna";"Tomáš";"Triatlon klub Ostrava";0;0;0;0;34;0;0;0;0;0;0
"Svientı";"Radek";"Bikestyle.cz";20;0;28;0;0;0;0;0;0;0;0
"Svoboda";"Jan";"Yogi Racing Ostrava";20;0;0;0;0;0;0;0;0;55;55
"Swaczna";"Petr";"CK Feso Petøvald";0;0;0;0;0;0;0;50;0;0;0
"Škoda";"Kristián";"CK Continental Frenštát p. R. 1";20;35;13;39;0;44;0;39;46;34;0
"Štainer";"Pavel";"SK Valašského království";20;36;10;0;"DNF";0;0;0;0;39;31
"Šustr";"Vilém";"ACK Stará Ves n. Ondøejnicí";20;37;30;0;0;46;0;0;0;0;0
"Szlauer";"David";"Bukovec";0;0;0;0;0;0;0;0;37;0;0
"TOMAN";"Jiøí";"Team Forman Cinelli";0;0;12;0;0;0;0;0;0;0;0
"TOMEÈEK";"Lubomír";"Team Forman Cinelli";0;0;11;0;0;0;0;0;0;0;0
"TOMASZ";"Daniel";"JGW";0;0;42;0;0;0;0;0;0;0;0
"Veleckı";"Tomáš";"YOGI Racing Ostrava 1";0;0;0;0;0;0;0;48;48;0;0
"Willmann";"Filip";"Skvelakola.cz";20;30;0;30;32;"DNF";0;37;40;0;0
"Záruba";"Petr";"ACK Stará Ves nad Ondøejnicí";0;55;34;0;0;37;0;40;0;0;0
"ZHÁNAL";"Pavel";"Spartak Tøebíè";0;0;21;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;
"Kategorie B";12;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC"
"Bában";"Marcel";"CykloservisMB-Airoo";0;50;0;46;0;0;0;37;39;0;0
"Bak";;;0;33;0;0;0;0;0;0;0;0;0
"Balica";"Lukáš";"Racing Olešná";0;29;0;0;0;0;0;27;0;0;0
"Beneš";"Daniel";"SK VEHA TEAM";0;24;20;0;33;"DNF";0;0;0;0;0
