"Kategorie A";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM"
"Bestwina";"Michal";;0;41
"Bubeník";"Jiøí";"M3B racing team";0;47
"Cáb";"Martin";"Cyklokramo Suchdol nad Odrou ""A""";0;38
"Diblík";"Jan";"Racing Olešná ""A""";0;40
"Fierla";"Ondøej";"Team Forman Cinelli";0;58
"Grepl";"Radim";"Kolík& Hobby ""B""";0;0
"Hamáèek ";"Jaroslav";"ACS Drak Vrbno";36;0
"Jakl";"Tomáš";"Triatlon klub Ostrava";0;50
"Kábrt";"Miloslav";"Cyklo Racing Team";50;0
"Keisler";"Jiøí";"SK Jiøí Team Ostrava";0;35
"Kokošek";"Oldøich";"Novatop Lapierre";39;0
"Kozák";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";0;0
"Kusidlo";"Mariusz";"Kolík& Hobby ""A""";55;60
"Kvarda";"Roman";"Racing Olešná";0;36
"Lant";"Antonín";"Team Forman Cinelli";0;56
"Machala";"Jan";"Cyklo TJ Píseèná";42;0
"Malejka";"Michal";"VKS Sokol KETY";0;54
"Malošík";"Jan";"CK Orlík orlová";0;0
"Maták";"Andrej";"CK Kysuce";0;42
"Matula";"Lukáš";"FORCE KCK CYKLOTEAM ZLÍN";0;0
"Mayer";"Bronislav";"SK Prima Polièka";46;0
"Motyka";"Adam";"A Bike Club Ostrava";0;0
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";0;65
"Nevídal";"Ondøej";"Bohuòovice";48;0
"Pastušek";"Jan";"SK Maxbike Ostrava";44;0
"Pavlík";"Petr";"Racing Olešná ""A""";0;48
"Pavlík";"Jan";"Racing Olešná ""A""";0;43
"Pech";"David";"Triatlon klub Ostrava";34;37
"Poláèek";"Michal";"A Bike Club Ostrava";0;0
"Polášek";"Adam";"A Bike Club Ostrava";0;0
"Reichel";"Sebastian";"Cyklistika pro všechny Krnov";38;44
"Salamon";"Marek";"CK Feso Petøvald";0;39
"Sas";"Kryštof";"Novatop Lapierre";37;0
"Swaczyna";"Petr";"CK Feso Petøvald";60;0
"Škoda";"Kristián";"CK Continental Frenštát p. R. ""A""";40;46
"Šmedek";"Josef";"SK SENTIDO Karviná";0;34
"Štainer";"Pavel";"SK Valašského království";36;49
"Velecký";"Tomáš";"YOGI Racing Ostrava 1";0;0
"Willmann";"Filip";;"DNF";0
"Záruba";"Petr";"ACK Stará Ves nad Ondøejnicí";0;70
"Záruba";"Pavel";"ACK Stará Ves nad Ondøejnicí";0;45
;;;;
"Kategorie B";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM"
"Adámek";"Lukáš";;50;50
"Androsz";"Michal";"Rybnik";40;0
"Babán";"Marcel";"M3B racing team";48;70
"Balica";"Lukáš";"Racing Olešná ""B""";0;34
"Beneš";"Daniel";"SK VEHA TEAM";0;49
"Beníèek";"Tomáš";"CK Continental Frenštát p. R. ""B""";0;0
"Boleslav";"Zaras";"UKS SOKOL KETY";0;35
"Bollo";"Roman";"YOGI Racing Ostrava 1";0;0
"Èervený";"Lukáš";"Baník Karviná";0;0
"Dohnal";"Tomáš";"Cyklokramo Suchdol nad Odrou ""B""";0;0
"Domanski";"Libor";"Bøežany 2";46;0
"Dužík";"Artur";"M3B racing team";0;0
"Foltýn";"Jiøí";"Kolík& Hobby ""A""";42;54
"Fryc";"Bohdan";"A Bike Club Ostrava";0;36
"Gierc";"David";;0;0
"Grošek";"Luboš";"A Bike Club Ostrava";0;38
"Gruchala";"Vojtìch";"Triatlon klub Ostrava";36;41
"Harabiš";"Radim";"SK Valašského království";0;0
"Hejneš";"Leopold";"M3B racing team";39;0
"Hlawiczka";"Martin";"skvelakola.cz";0;37
"Holona";"Martin";"HPEL TEAM";0;33
"Hulboj";"René";"TJ TŽ Tøinec";0;39
"Chamrád";"Jiøí";"CK Continental Frenštát p. R. ""A""";0;0
"Javorek";"Petr";"CK Feso Petøvald";55;43
"Jureèka";"Roman";"CK Continental Frenštát p. R. ""B""";37;52
"Kajnar ";"Tomáš";"NUTREND SPECIALIZED Cycling team";60;0
"Klášterka";"Tomáš";"CK Continental Frenštát p. R. ""A""";0;65
"Kocurek ";"Jaroslav";"Vsetin";0;60
"Koláèek";"Petr";"CK Feso Petøvald";0;48
"Kolesár";"Radek";"Kolík& Hobby ""B""";0;0
"Kotas";"Wieslaw";"TJ TŽ Tøinec";0;0
"Král";"Martin";"YOGI Racing Ostrava 2";0;0
"Krhut";"Martin";"M3B racing team";0;0
"Kroll";"Andrzej";"skvelakola.cz";0;32
"Krùpa";"Zdenìk";"CK Continental Frenštát p. R. ""B""";0;0
"Kubánek";"Martin";"Lowell Pro Šafrata Team Bohumín";0;0
"Kuèera ";"Marek";"M3B racing team";0;0
"Macháè";"Miroslav";"ACS DRAK VRBNO";34;0
"Maranèák";"Jaroslav";"Vsetín";0;47
"Martinák";"Tomáš";"SK Valašského království";0;0
"Mitrenga";"Petr";"skvelakola.cz";0;45
"Mlynáø";"Vlastík";"ACS DRAK VRBNO";0;0
"Naiser";"Tomáš";"BikeOne";"DNF";0
"Pietrzyk";"Vratislav";"Yogi Racing";0;56
"Podhorný";"Jarmil";"YOGI Racing Ostrava 2";0;0
"Povala";"Roman";"CK Continental Frenštát p. R. ""A""";35;46
"Pøichystal";"Lukáš";"All Training.cz";44;0
"Pytel";"Jaromír";"M3B racing team";0;0
"Schnerch";"Martin";"skvelakola.cz";38;44
"Sikora";"Tomáš";"ACK Stará Ves nad Ondøejnicí";0;0
"Stanèík";"Martin";"CK Continental Frenštát p. R. ""B""";0;0
"Stanìk";"Pavel";"Cyklosport Pøikryl Stará Ves n. Ondøejnicí";"DNF";42
"Šenkeøík";"Jan";"FORCE KCK CYKLOTEAM ZLÍN";0;0
"Šopík";"Vítìzslav";"Duko Rýmaøov";33;0
"Štec";"Josef";"Cyklokramo Suchdol nad Odrou ""A""";0;0
"Teslík";"Petr";"Yogi Racing Team Ostrava";0;40
"Toman";"Petr";"Team Forman Cinelli";0;0
"Uvíra";"Václav";"CK Orlík Orlová";0;58
;;;;
"Kategorie C";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM"
"Adámek";"František";"Zhor Team";37;0
"Bartek";"Dušan";"Racing Olesná";0;35
"Beneš";"Petr";"YOGI Racing Ostrava 1";0;0
"Blachowski";"Ryszard";"CK Orlík Orlová";0;38
"Boszczyk";"Norbert";"skvelakola.cz";0;0
"Buchal";"Ivo";"Racing Olešná ""A""";0;42
"Dohnal";"Blahoslav";"Cyklistika pro všechny Krnov";0;41
"Fajkus";"Petr";"FORCE KCK CYKLOTEAM ZLÍN";55;56
"Fierla";"Jan";"CK Feso Petøvald";39;44
"Franta";"Roman";"Racing Olešná ""A""";0;43
"Galuška";"Tomáš";"Lowell Pro Šafrata Team Bohumín";50;70
"Giraczka";"Martin";"Lowell Pro Šafrata Team Bohumín";0;0
"Grussmann";"Václav";"CK Continental Frenštát p. R. ""A""";44;52
"Havlíèek";"Robert";"YOGI Racing Ostrava 2";0;0
"Helcel";"Martin";"mh bike";0;49
"Chaloupka ";"Petr";"Cyklo Racing Olomouc";48;0
"Chruòák";"Martin";"YOGI Racing Ostrava 1";0;0
"Chudìj";"Marek";"Cyklo Racing Olomouc";42;0
"Chudý";"Radek";"Cyklokramo Suchdol nad Odrou ""B""";0;48
"Chýlek ";"Patrik";"CK Continental Frenštát p. R. ""B""";0;0
"Jaroš";"Martin";"Racing Olešná ""B""";0;46
"Kaiser";"Zdenìk";"A Bike Club Ostrava";0;0
"Kmenta";"Dalibor";"FORCE KCK CYKLOTEAM ZLÍN";0;0
"Kokeš";"Pavel";"SK Valašského království";0;0
"Kopecký";"Tomáš";"Bike club Svitavy";0;36
"Kraèmar";"Petr";"Kolík& Hobby ""B""";0;0
"Kubala";"Janusz";"M3B racing team";46;54
"Lach";"Alan";"Racing Olešná ""A""";0;50
"Lysek";"Vladimír";"CK Continental Frenštát p. R. ""A""";0;65
"Machotka";"Karel";"YOGI Racing Ostrava 1";"DNF";60
"Odvárka";"Ivo";"FORCE KCK CYKLOTEAM ZLÍN";60;0
"Rylich";"Václav";"CK Orlík Orlová";0;0
"Sokol";"Pavel";"Cyklokramo Suchdol nad Odrou ""A""";0;45
"Šimeèek";"Radim";"Midar Pøíbor";0;39
"Škarka";"Jiøí";"Kolík& Hobby ""A""";38;40
"Šnajder ";"Roman";"Racing Olesná";0;47
"Tihlaøík";"Stanislav";"Cyklistika pro všechny Krnov";0;0
"Vymazal";"Igor";;0;0
"Wala";"Petr";"CK Feso Petøvald";0;0
"Wenzel";"Roman";"MaxCursor";0;0
"Wilhelm";"Jaroslav";"Kolík& Hobby ""B""";40;37
;;;;
"Kategorie D";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM"
